Ship Mode,Segment,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,Ship Time
1,Consumer,East,Technology,Accessories,2309.65,7,0.0,762.1844999999998,933.57,0,0
2,Corporate,Oceania,Furniture,Chairs,3709.395,9,0.1,-288.765,923.63,0,2
0,Consumer,Oceania,Technology,Phones,5175.171000000001,9,0.1,919.9709999999995,915.49,3,1
0,Home Office,Central,Technology,Phones,2892.51,5,0.1,-96.54000000000003,910.16,3,2
1,Consumer,Africa,Technology,Copiers,2832.96,8,0.0,311.52,903.04,0,1
2,Corporate,Oceania,Technology,Phones,2862.675,5,0.1,763.2750000000001,897.35,0,3
0,Consumer,Oceania,Furniture,Chairs,1822.08,4,0.0,564.84,894.77,0,2
3,Consumer,Oceania,Furniture,Tables,5244.84,6,0.0,996.48,878.38,1,4
3,Corporate,West,Office Supplies,Binders,5083.96,5,0.2,1906.485,867.69,2,7
2,Consumer,South,Furniture,Tables,4297.644,13,0.4,-1862.3124000000005,865.74,0,3
2,Corporate,South,Office Supplies,Supplies,4164.049999999999,5,0.0,83.28100000000006,846.54,1,4
0,Corporate,Central Asia,Furniture,Tables,4626.15,5,0.0,647.55,835.57,1,3
2,Consumer,EMEA,Technology,Phones,2616.96,4,0.0,1151.4,832.41,0,2
1,Home Office,South,Furniture,Chairs,2221.8,7,0.0,622.02,810.25,0,0
2,Consumer,North Asia,Office Supplies,Appliances,3701.52,12,0.0,1036.08,804.54,0,2
2,Corporate,Central,Office Supplies,Appliances,1869.588,4,0.1,186.94800000000004,801.66,0,3
2,Corporate,South,Technology,Accessories,2249.91,9,0.0,517.4793000000001,780.7,0,3
3,Corporate,South,Office Supplies,Appliances,7958.58,14,0.0,3979.08,778.32,2,6
0,Corporate,Oceania,Technology,Copiers,2565.594,9,0.1,28.40399999999994,766.93,0,1
2,Consumer,Africa,Office Supplies,Appliances,3409.74,6,0.0,818.28,763.38,1,2
0,Corporate,EMEA,Furniture,Tables,1977.72,4,0.0,276.84000000000003,759.47,0,2
0,Consumer,Central,Technology,Phones,2735.952,6,0.2,341.9939999999997,752.51,1,2
0,Corporate,North Asia,Furniture,Chairs,2753.999999999999,6,0.0,358.02,752.47,0,1
2,Home Office,North,Office Supplies,Appliances,5273.7,10,0.0,1898.4,730.91,1,2
0,Consumer,North,Technology,Phones,1713.84,4,0.0,445.52,728.9680000000001,0,1
0,Consumer,Central,Furniture,Tables,2106.496,8,0.2,526.4960000000001,728.389,0,3
0,Corporate,North Asia,Furniture,Tables,1715.16,2,0.0,720.36,725.57,0,3
2,Consumer,Central,Office Supplies,Appliances,3069.7380000000003,6,0.1,1364.2379999999996,725.34,0,3
0,Home Office,West,Technology,Phones,4158.912,8,0.2,363.90480000000025,714.66,1,1
1,Consumer,Central Asia,Furniture,Chairs,1878.72,4,0.0,582.36,704.08,0,0
2,Corporate,Caribbean,Technology,Phones,1696.64,5,0.2,-148.46000000000004,704.056,0,2
0,Corporate,Central,Technology,Machines,2402.865,9,0.15,763.155,699.55,0,2
1,Consumer,Central,Furniture,Chairs,2453.43,5,0.3,-350.4899999999999,690.42,1,0
2,Corporate,Oceania,Office Supplies,Appliances,2526.93,5,0.1,561.48,689.8,0,2
2,Consumer,West,Furniture,Tables,3610.848,12,0.2,135.4068000000002,683.12,1,2
0,Corporate,Africa,Technology,Phones,3817.26,6,0.0,1068.66,678.15,1,1
1,Consumer,East,Technology,Machines,2799.96,4,0.0,1371.9804,675.15,1,0
1,Corporate,South,Technology,Machines,7999.98,4,0.5,-3839.990399999999,674.82,1,0
3,Consumer,North,Technology,Copiers,4141.02,13,0.0,1697.67,668.96,1,4
0,Consumer,Oceania,Technology,Phones,2875.0950000000007,5,0.1,511.0949999999999,665.27,3,1
3,Consumer,Southeast Asia,Technology,Phones,3200.5962,6,0.17,-77.20379999999989,660.87,1,4
3,Home Office,Central Asia,Technology,Phones,4518.78,7,0.0,632.52,658.69,1,4
2,Corporate,Central Asia,Furniture,Bookcases,5667.87,13,0.0,2097.03,658.35,3,2
3,Consumer,North,Technology,Phones,5785.02,9,0.0,404.73,656.73,1,4
0,Consumer,Central,Office Supplies,Appliances,3018.624,7,0.2,377.2439999999999,655.91,0,2
3,Consumer,Central,Office Supplies,Binders,9449.95,5,0.0,4630.4755000000005,655.61,3,5
1,Corporate,Central,Furniture,Chairs,2092.4999999999995,5,0.1,720.7499999999999,652.98,0,0
0,Consumer,North Asia,Furniture,Chairs,2761.2,6,0.0,110.34,644.75,1,1
1,Consumer,Central Asia,Technology,Machines,2174.13,7,0.0,500.00999999999993,637.86,0,0
2,Consumer,South,Furniture,Chairs,3473.1399999999994,11,0.0,868.1200000000001,634.529,1,2
0,Consumer,East,Office Supplies,Binders,3050.376,3,0.2,1143.891,632.05,1,3
0,Consumer,EMEA,Technology,Copiers,2108.64,8,0.0,527.04,630.97,0,3
