Brand,Price,Color,Features,Condition,GPU,OS,Storage Type,Hard Drive Capacity,SSD Capacity,Ram Size
10,303.8,1,6,1,0,0,0,512.0,1.0,8.0
1,400.0,0,13,5,0,0,0,2.0,69.0,69.0
1,175.0,0,14,8,0,0,0,500.0,500.0,16.0
3,85.0,0,8,6,0,1,1,16.0,69.0,4.0
1,101.25,19,8,6,4,0,0,69.0,256.0,8.0
4,50.0,0,2,10,4,1,0,69.0,16.0,4.0
3,39.6,0,3,10,4,1,0,16.0,16.0,4.0
4,35.0,1,1,10,4,1,4,16.0,69.0,2.0
1,280.0,0,1,4,4,0,0,512.0,500.0,16.0
3,125.0,2,9,10,0,1,1,69.0,64.0,8.0
2,138.0,0,4,8,0,0,0,69.0,128.0,16.0
5,430.5,19,1,1,4,5,4,69.0,69.0,69.0
4,70.0,2,1,10,0,1,1,69.0,32.0,4.0
10,152.0,1,1,1,0,0,0,256.0,256.0,8.0
10,244.0,1,6,1,0,0,2,512.0,512.0,8.0
1,170.0,0,12,8,4,0,0,128.0,128.0,8.0
1,218.0,0,7,8,0,5,0,69.0,512.0,16.0
1,130.0,0,9,8,0,0,0,128.0,128.0,4.0
4,40.0,1,8,8,0,1,0,16.0,16.0,4.0
1,393.0,0,12,5,0,0,0,2.0,69.0,69.0
1,625.0,19,10,2,4,0,0,1.0,1.0,32.0
1,315.0,2,1,10,2,0,0,69.0,512.0,16.0
1,200.0,0,5,8,0,0,0,256.0,256.0,8.0
10,227.4,19,1,8,4,5,4,69.0,69.0,69.0
3,300.0,2,8,1,0,5,0,69.0,512.0,16.0
6,60.0,1,1,8,4,0,0,128.0,128.0,4.0
2,45.0,0,10,10,0,1,1,69.0,16.0,4.0
4,199.9,19,1,10,0,1,1,64.0,64.0,64.0
3,439.0,2,13,1,0,0,0,2.0,2.0,32.0
10,206.6,19,1,8,4,5,4,69.0,69.0,69.0
1,345.0,0,13,5,0,0,0,512.0,512.0,16.0
10,242.0,1,6,1,0,0,0,512.0,512.0,16.0
3,420.0,0,10,5,0,0,0,2.0,69.0,69.0
2,73.0,0,15,8,4,0,0,69.0,128.0,69.0
3,209.0,0,8,5,0,0,0,69.0,512.0,16.0
10,150.0,1,8,1,0,0,0,256.0,256.0,8.0
2,799.0,1,2,10,1,0,0,69.0,512.0,16.0
2,100.0,8,1,8,0,5,0,256.0,256.0,8.0
1,219.0,0,4,8,4,0,0,512.0,512.0,16.0
3,174.0,3,6,10,0,0,1,64.0,64.0,4.0
1,152.5,0,14,8,0,0,0,69.0,256.0,8.0
10,269.5,1,6,1,0,0,0,12.0,512.0,12.0
2,130.0,0,9,8,4,5,4,69.0,256.0,16.0
1,489.0,0,11,1,2,0,0,512.0,512.0,16.0
1,120.0,0,10,8,4,5,0,8.0,69.0,8.0
7,550.0,0,1,8,4,0,4,69.0,512.0,16.0
3,29.98,4,1,8,4,1,0,16.0,16.0,16.0
3,145.0,0,6,5,0,0,0,69.0,512.0,8.0
1,160.0,19,1,8,4,0,0,256.0,256.0,8.0
3,85.0,4,6,5,0,1,1,16.0,16.0,4.0
6,69.6,19,10,9,4,5,0,256.0,256.0,256.0
3,70.0,0,9,8,0,1,1,16.0,16.0,4.0
3,49.0,1,6,8,4,1,1,16.0,16.0,4.0
1,130.0,0,15,8,0,0,0,256.0,256.0,8.0
2,135.0,19,1,9,4,5,4,69.0,69.0,69.0
2,81.0,0,6,10,4,0,2,320.0,120.0,4.0
6,103.75,2,17,10,4,5,0,512.0,69.0,1.0
1,200.0,0,9,8,1,0,0,69.0,256.0,8.0
1,288.0,19,4,8,0,0,0,69.0,512.0,69.0
1,105.0,0,6,8,4,0,0,256.0,256.0,8.0
1,39.94,0,6,8,4,1,1,16.0,16.0,4.0
2,90.0,0,1,8,4,0,0,128.0,128.0,8.0
2,599.0,6,12,1,0,0,0,1.0,1.0,20.0
10,800.0,19,1,8,4,0,2,500.0,500.0,8.0
1,170.0,19,1,5,4,5,0,500.0,500.0,16.0
1,239.0,19,1,8,4,0,0,69.0,512.0,16.0
1,169.0,2,6,8,0,0,4,69.0,256.0,8.0
3,290.0,2,1,5,0,0,0,500.0,500.0,32.0
1,90.0,0,1,8,4,5,3,69.0,69.0,8.0
2,105.0,19,1,8,4,5,4,180.0,69.0,8.0
6,409.0,2,5,2,0,0,0,69.0,256.0,8.0
1,200.0,0,10,8,0,0,0,256.0,256.0,8.0
2,55.0,1,7,10,3,1,1,69.0,32.0,69.0
10,225.0,2,6,1,2,0,0,12.0,512.0,12.0
3,659.0,3,2,10,1,0,0,69.0,512.0,8.0
1,229.0,1,6,8,0,5,0,512.0,512.0,16.0
3,210.0,19,1,8,4,5,0,512.0,512.0,16.0
2,180.0,0,7,8,0,0,0,512.0,512.0,16.0
10,675.0,2,21,8,4,0,0,69.0,69.0,16.0
1,125.94,0,8,5,0,0,0,69.0,240.0,8.0
2,90.0,1,6,8,0,0,0,69.0,128.0,4.0
10,271.8,19,1,5,4,5,4,69.0,69.0,69.0
3,999.0,19,5,8,4,5,0,69.0,256.0,8.0
2,229.0,19,13,8,4,0,0,69.0,256.0,16.0
8,293.0,1,10,10,0,0,0,256.0,256.0,8.0
1,185.0,1,6,8,4,5,0,69.0,512.0,16.0
3,259.0,2,15,8,0,0,0,256.0,256.0,8.0
10,115.0,4,2,8,4,2,4,69.0,69.0,69.0
4,41.0,1,1,8,0,1,1,32.0,32.0,4.0
1,75.0,0,1,8,4,0,0,69.0,128.0,4.0
3,510.0,2,1,8,4,5,4,69.0,256.0,16.0
2,170.0,1,8,10,0,0,1,128.0,128.0,4.0
10,59.8,19,1,9,4,5,4,69.0,69.0,69.0
3,44.75,1,4,8,4,1,0,32.0,32.0,4.0
1,209.0,19,1,8,4,5,4,69.0,69.0,69.0
2,180.0,19,1,8,4,1,0,16.0,16.0,4.0
1,220.0,19,1,4,0,0,0,500.0,500.0,16.0
1,260.0,19,1,4,4,0,0,512.0,512.0,16.0
10,59.4,19,1,1,4,5,4,69.0,69.0,69.0
10,306.8,19,1,6,0,5,4,69.0,69.0,69.0
2,73.0,19,1,1,4,5,4,69.0,69.0,69.0
1,389.8,19,1,8,0,0,4,69.0,480.0,69.0
10,107.44,19,1,8,4,5,4,69.0,69.0,69.0
10,1179.0,19,1,8,4,5,4,69.0,69.0,69.0
1,300.0,0,8,8,0,0,0,69.0,256.0,12.0
3,69.0,4,5,8,0,2,0,69.0,240.0,3.0
2,244.8,0,2,8,0,0,4,69.0,256.0,16.0
10,10.52,19,1,8,4,5,4,69.0,69.0,69.0
2,370.0,0,3,10,0,0,0,69.0,256.0,8.0
2,270.0,1,7,10,0,0,0,69.0,256.0,8.0
10,64.6,19,1,1,4,5,4,69.0,69.0,69.0
10,65.06,19,1,1,4,5,4,69.0,69.0,69.0
2,61.6,19,1,1,4,5,4,69.0,69.0,69.0
10,26.05,19,1,8,4,5,4,69.0,69.0,69.0
1,384.5,19,7,8,0,0,4,69.0,480.0,69.0
10,13.02,19,1,1,4,5,4,69.0,69.0,69.0
1,24.25,19,1,8,4,5,4,69.0,69.0,69.0
1,470.5,19,11,8,0,0,4,69.0,240.0,69.0
4,90.0,2,10,8,0,0,0,128.0,128.0,4.0
10,420.0,19,1,1,4,0,0,256.0,256.0,8.0
10,7.26,19,1,8,4,5,4,69.0,69.0,69.0
1,199.0,19,1,8,0,0,0,69.0,128.0,8.0
6,200.0,2,7,10,0,0,0,256.0,256.0,8.0
3,390.0,2,5,1,0,0,0,256.0,256.0,8.0
10,582.5,19,1,8,4,5,4,69.0,69.0,69.0
10,42.3,19,1,1,4,5,4,69.0,69.0,69.0
10,405.5,19,7,8,0,0,0,69.0,240.0,69.0
10,298.8,19,1,8,0,5,4,69.0,69.0,69.0
10,81.4,19,1,8,4,5,4,69.0,69.0,69.0
10,380.0,19,1,8,4,5,4,69.0,69.0,69.0
1,125.0,0,1,8,4,0,2,160.0,69.0,3.0
10,111.5,19,1,1,4,5,4,69.0,69.0,69.0
10,78.2,19,1,10,4,5,4,69.0,69.0,69.0
10,32.56,19,1,8,4,5,4,69.0,69.0,69.0
2,250.0,0,1,10,4,0,0,256.0,256.0,8.0
10,344.5,0,1,7,0,5,4,69.0,69.0,69.0
10,405.5,19,7,8,0,0,0,69.0,240.0,69.0
3,140.0,2,6,10,0,1,0,64.0,64.0,4.0
3,759.0,19,8,10,4,0,0,256.0,256.0,8.0
2,1197.0,19,5,10,0,0,0,69.0,512.0,16.0
1,400.0,19,1,8,4,5,4,69.0,69.0,69.0
10,96.56,19,1,1,4,5,4,69.0,69.0,69.0
10,26.16,19,1,1,4,5,4,69.0,69.0,69.0
10,425.5,19,1,8,0,5,4,69.0,69.0,69.0
2,461.8,19,7,8,0,0,2,500.0,120.0,69.0
10,216.0,0,1,7,0,5,4,69.0,69.0,69.0
1,487.5,19,8,8,0,0,4,69.0,240.0,69.0
10,449.2,0,1,7,1,5,4,69.0,69.0,69.0
10,487.2,19,1,8,4,5,4,69.0,69.0,69.0
10,530.0,19,1,7,0,5,4,69.0,69.0,69.0
10,354.0,19,1,7,0,5,4,69.0,69.0,69.0
10,859.0,19,1,8,0,5,4,69.0,69.0,69.0
10,1724.0,19,1,7,0,5,4,69.0,69.0,69.0
10,812.0,19,1,8,0,5,4,69.0,69.0,69.0
9,70.3,19,1,1,4,5,4,69.0,69.0,69.0
10,22.34,19,1,9,4,5,4,69.0,69.0,69.0
10,269.5,19,1,8,4,5,4,69.0,69.0,4.0
10,92.1,19,1,1,4,5,4,69.0,69.0,69.0
10,240.2,19,1,4,0,5,4,69.0,69.0,69.0
10,357.0,0,1,7,0,5,4,69.0,69.0,69.0
10,436.0,19,7,8,0,0,0,69.0,240.0,69.0
1,144.0,19,1,8,0,5,2,240.0,69.0,4.0
1,430.2,0,11,8,0,0,4,69.0,240.0,69.0
10,276.5,19,1,7,0,5,4,69.0,69.0,69.0
10,165.0,19,1,1,4,5,4,69.0,69.0,69.0
1,323.8,0,8,8,0,0,4,69.0,120.0,69.0
10,88.7,19,1,1,4,5,4,69.0,69.0,69.0
10,110.06,19,1,1,4,5,4,69.0,69.0,69.0
10,475.5,19,1,7,0,5,4,69.0,69.0,69.0
10,48.84,19,1,8,4,5,4,69.0,69.0,69.0
10,627.0,19,1,8,0,5,4,69.0,69.0,69.0
1,443.8,0,5,8,0,0,0,69.0,240.0,69.0
10,650.5,19,1,7,0,5,4,69.0,69.0,69.0
10,94.1,19,1,1,4,5,4,69.0,69.0,69.0
10,269.2,0,1,8,0,5,4,69.0,69.0,69.0
10,425.2,19,1,4,0,5,4,69.0,69.0,69.0
10,546.5,19,1,7,0,5,4,69.0,69.0,69.0
